TEAM1, TEAM2, P1, PTIE, P2, ODDS1, ODDSTIE, ODDS2, EV1, EVTIE, EV2, EV1TIE, EV12, EV2TIE, DATE
México,Venezuela,0.48331,0.27794,0.23875,1.95,3.33,3.5,-0.0575479427149857,-0.07446227984783516,-0.1643680091930957,-0.13201022256282086,-0.2219159519080814,-0.2388302890409309,MAÑANA
Estados Unidos,Burkina Faso,0.39492,0.28019,0.32490,2.42,3.25,2.62,-0.044299920343294774,-0.08939537991109292,-0.14877097412441853,-0.1336953002543877,-0.19307089446771328,-0.23816635403551148,MAÑANA
Francia,Corea del Sur,0.72256,0.17184,0.10560,1.28,5.0,8.0,-0.0751262715519591,-0.1407788834788944,-0.15521458923402454,-0.21590515503085353,-0.2303408607859836,-0.29599347271291887,MAÑANA
New Zealand,Alemania,0.00000,0.00000,0.00000,41.0,12.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,MAÑANA
Bolivia,Perú,0.44367,0.29443,0.26190,2.22,3.14,3.4,-0.015054955807051296,-0.07547459856712646,-0.10955285215746391,-0.09052955437417765,-0.12460780796451515,-0.18502745072459037,JUE 16 NOV 2023
Venezuela,Ecuador,0.29433,0.31125,0.39442,3.2,3.0,2.42,-0.05815563956432185,-0.06624256198819051,-0.0455007975756746,-0.12439820155251236,-0.1036564371399964,-0.11174335956386505,JUE 16 NOV 2023
Argentina,Uruguay,0.61185,0.24109,0.14707,1.58,3.8,6.0,-0.03328085982644943,-0.08387243394851118,-0.11760255198618699,-0.11715329377496059,-0.15088341181263643,-0.20147498593469815,JUE 16 NOV 2023
Colombia,Brasil,0.27880,0.30890,0.41230,3.2,3.14,2.33,-0.10782743709659875,-0.03006326906416551,-0.03934326936419641,-0.13789070616076426,-0.14717070646079522,-0.06940653842836186,JUE 16 NOV 2023
Chile,Paraguay,0.50630,0.29234,0.20136,1.96,3.2,4.2,-0.0076589896218468845,-0.06451058918371308,-0.154274873935276,-0.07216957880556002,-0.16193386355712286,-0.2187854631189891,JUE 16 NOV 2023
Paraguay,Colombia,0.29839,0.31624,0.38537,3.14,3.0,2.4,-0.06304977945809692,-0.051292548131915805,-0.07510625745006205,-0.11434232759001273,-0.138156036908159,-0.12639880558197789,MAR 21 NOV 2023
Uruguay,Bolivia,0.86648,0.09431,0.03921,1.09,8.5,26.0,-0.05553292337241896,-0.19839515265958976,0.01945976164893501,-0.2539280760320087,-0.03607316172348396,-0.1789353910106546,MAR 21 NOV 2023
Ecuador,Chile,0.57342,0.25549,0.17109,1.62,3.66,5.5,-0.07106257314754497,-0.06491417029236693,-0.05898352985814764,-0.13597674343991187,-0.13004610300569264,-0.1238977001505146,MAR 21 NOV 2023
Brasil,Argentina,0.38754,0.31360,0.29886,2.33,3.14,3.1,-0.09702886098611713,-0.015288250197814601,-0.07354556135457213,-0.11231711118393173,-0.17057442234068915,-0.08883381155238673,MAR 21 NOV 2023
Perú,Venezuela,0.45348,0.30475,0.24178,2.0,3.25,3.8,-0.0930482556474321,-0.009570784000833249,-0.0812486283612125,-0.1026190396482653,-0.17429688400864463,-0.09081941236204571,MAR 21 NOV 2023
Australia,Bangladesh,0.00000,0.00000,0.00000,1.0,18.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,JUE 16 NOV 2023
Japón,Myanmar,0.00000,0.00000,0.00000,1.0,21.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,JUE 16 NOV 2023
Filipinas,Vietnam,0.22500,0.26370,0.51130,4.75,3.6,1.75,0.0687409729805899,-0.05067857228939132,-0.10522236828199713,0.018062400691198688,-0.03648139530140729,-0.1559009405713884,JUE 16 NOV 2023
Corea del Sur,Singapur,0.00000,0.00000,0.00000,1.0,19.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,JUE 16 NOV 2023
Tailandia,China,0.38692,0.27271,0.34037,2.37,3.4,2.9,-0.0830013494330627,-0.07279227493384272,-0.012919507194055713,-0.15579362436690547,-0.09592085662711841,-0.08571178212789837,JUE 16 NOV 2023
Tayikistán,Jordania,0.24768,0.29024,0.46208,3.8,3.25,2.05,-0.05883440189453021,-0.05670594351065689,-0.0527349390631317,-0.1155403454051871,-0.11156934095766191,-0.10944088257378859,JUE 16 NOV 2023
Malasia,Kirguistán,0.56236,0.26495,0.17269,1.75,3.6,4.75,-0.015869363642647044,-0.046172553522972976,-0.17973405246841628,-0.062041917165620075,-0.1956034161110633,-0.2259066059913893,JUE 16 NOV 2023
Líbano,Palestina,0.31347,0.35949,0.32704,2.8,2.9,2.8,-0.12229741563194657,0.04252060084873238,-0.08427419898062283,-0.07977681478321408,-0.2065716146125694,-0.04175359813189039,JUE 16 NOV 2023
Turkmenistán,Uzbekistán,0.11004,0.21699,0.67298,7.5,5.0,1.4,-0.17472725646834397,0.08493799928460699,-0.057833551925599164,-0.08978925718373709,-0.23256080839394316,0.027104447359007855,JUE 16 NOV 2023
Irán,Hong Kong,0.00000,0.00000,0.00000,1.03,15.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,JUE 16 NOV 2023
Omán,Chinese Taipei,0.00000,0.00000,0.00000,1.05,13.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,JUE 16 NOV 2023
Catar,Afganistán,0.00000,0.00000,0.00000,1.0,1.0,1.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,JUE 16 NOV 2023
Emiratos Árabes Unidos,Nepal,0.00000,0.00000,0.00000,1.01,17.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,JUE 16 NOV 2023
Kuwait,India,0.55249,0.27062,0.17688,1.68,3.6,5.33,-0.07181136619663597,-0.025759235520335544,-0.0572065156871126,-0.09757060171697152,-0.12901788188374863,-0.08296575120744809,JUE 16 NOV 2023
Arabia Saudita,Pakistán,0.00000,0.00000,0.00000,1.0,21.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,JUE 16 NOV 2023
Siria,Corea del Norte,0.49466,0.28481,0.22054,4.33,3.33,1.88,1.1418571249908547,-0.051595715962673955,-0.5853872749703649,1.0902614090281806,0.5564698500204897,-0.6369829909330389,JUE 16 NOV 2023
Yemen,Bahrain,0.08466,0.22673,0.68860,11.0,4.25,1.36,-0.06869493392070503,-0.036378028634361126,-0.06350220264317172,-0.10507296255506637,-0.13219713656387683,-0.09988023127753298,JUE 16 NOV 2023
Ruanda,Zimbabue,0.42991,0.30873,0.26136,2.12,3.1,3.5,-0.08859358350136881,-0.042948245053197553,-0.085222708568993,-0.13154182855456636,-0.17381629207036187,-0.12817095362219055,MAÑANA
Guinea Ecuatorial,Namibia,0.53564,0.27083,0.19353,1.8,3.2,4.75,-0.03585137594945492,-0.13334385351617,-0.08072380868142903,-0.1691952294656249,-0.11657518463088401,-0.2140676621975991,MAÑANA
DR Congo,Mauritania,0.64272,0.22943,0.12784,1.45,4.0,7.0,-0.06805050055236322,-0.08227213948668752,-0.10509030495585372,-0.15032264003905077,-0.17314080550821687,-0.18736244444254124,MAÑANA
Etiopía,Sierra Leona,0.27636,0.30594,0.41770,3.25,3.1,2.22,-0.10182262101215922,-0.051587539408877336,-0.07270993800092002,-0.1534101604210366,-0.17453255901307924,-0.12429747740979735,MAÑANA
Botswana,Mozambique,0.40512,0.32863,0.26625,2.22,2.9,3.5,-0.10063658178374513,-0.04697960723257061,-0.06811232474338502,-0.14761618901631568,-0.16874890652713015,-0.11509193197595569,JUE 16 NOV 2023
Burundi,Gambia,0.24709,0.30719,0.44572,3.75,3.1,2.05,-0.07342542883331155,-0.04771507136310066,-0.08626423988477155,-0.12114050019641232,-0.1596896687180831,-0.13397931124787227,JUE 16 NOV 2023
Sudán,Togo,0.30027,0.32076,0.37897,3.25,3.0,2.28,-0.024128398285929276,-0.03770707901337628,-0.1359540820753976,-0.0618354772993055,-0.16008248036132683,-0.17366116108877389,JUE 16 NOV 2023
Israel,Suiza,0.14525,0.22037,0.63439,6.33,4.25,1.52,-0.08057682429369994,-0.06344613990028714,-0.03573349448557181,-0.14402296419398697,-0.11631031877927173,-0.09917963438585897,MAÑANA
Georgia,Escocia,0.28930,0.28503,0.42567,3.33,3.33,2.22,-0.03663014996409719,-0.050839144802384995,-0.0550204701556784,-0.08746929476648224,-0.09165062011977558,-0.10585961495806344,JUE 16 NOV 2023
Bulgaria,Hungary,0.14116,0.25438,0.60446,5.66,3.8,1.63,-0.2010437225333102,-0.033344619681211385,-0.014732396799970154,-0.23438834221452165,-0.21577611933328034,-0.04807701648118157,JUE 16 NOV 2023
Azerbaiyán,Suecia,0.12344,0.21254,0.66402,7.0,4.33,1.48,-0.13592670894996473,-0.07968428470754063,-0.01725496828752643,-0.21561099365750525,-0.1531816772374911,-0.09693925299506709,JUE 16 NOV 2023
Estonia,Austria,0.07744,0.16638,0.75617,11.0,5.5,1.28,-0.1481487858286732,-0.0848852241544642,-0.03209667093671545,-0.2330340099831374,-0.18024545676538867,-0.11698189509117962,JUE 16 NOV 2023
Chipre,España,0.02542,0.04762,0.92696,46.0,13.0,1.05,0.1695105791924092,-0.380965821002627,-0.02669426463469812,-0.21145524181021802,0.14281631455771082,-0.40766008563732525,JUE 16 NOV 2023
Liechtenstein,Portugal,0.00000,0.00000,0.00000,81.0,21.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,JUE 16 NOV 2023
Estados Unidos,Trinidad y Tobago,0.93597,0.04262,0.02141,1.03,12.0,36.0,-0.035949640563360974,-0.4886076307158124,-0.22914112699722672,-0.5245572712791733,-0.2650907675605877,-0.7177487577130391,JUE 16 NOV 2023
Costa Rica,Panamá,0.36901,0.30396,0.32702,2.36,3.1,3.0,-0.1291271401420916,-0.05771348401673776,-0.01893194776381152,-0.18684062415882935,-0.14805908790590316,-0.07664543178054922,JUE 16 NOV 2023
Jamaica,Canadá,0.29086,0.30392,0.40522,3.1,3.2,2.2,-0.09832193909260412,-0.027470478558110578,-0.10851460534493462,-0.1257924176507147,-0.20683654443753874,-0.1359850839030452,VIE 17 NOV 2023
Honduras,México,0.10549,0.17868,0.71583,9.0,4.75,1.3,-0.05062316132698952,-0.1512462768327315,-0.06942270268685098,-0.20186943815972103,-0.12004586401384043,-0.22066897951958253,VIE 17 NOV 2023
